time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K]
2008-07-17,8.125,48.125,6.0908375,12.555993,4.6315505e-05,0.30398488,65.29996378554237,288.0866
2008-07-18,8.125,48.125,11.418215,0.84381604,1.9441744e-05,0.3173294,66.23496129005044,289.49402
2008-07-19,8.125,48.125,11.069103,2.3226802,1.9340883e-05,0.31305122,67.16995879455848,291.6572
2008-07-20,8.125,48.125,10.241993,5.438376,2.667207e-05,0.31526646,66.8079178366396,289.88922
2008-07-21,8.125,48.125,10.195611,0.851101,1.7668857e-05,0.31284243,66.44587687872074,286.4386
2008-07-22,8.125,48.125,4.156989,2.2954524,1.8955174e-05,0.3093539,66.08383592080186,285.3187
2008-07-23,8.125,48.125,9.593302,0.06760804,1.6528154e-05,0.30995694,65.721794962883,288.68552
2008-07-24,8.125,48.125,14.870502,0.0,1.6126336e-05,0.30066055,65.35975400496412,291.31293
2008-07-25,8.125,48.125,14.476973,0.013791256,1.5996678e-05,0.2915293,64.99771304704524,292.86984
2008-07-26,8.125,48.125,10.14955,17.528803,2.2024862e-05,0.3001613,64.63567208912637,293.37643
2008-07-27,8.125,48.125,12.822335,7.53293,1.7927518e-05,0.32276186,64.2736311312075,293.3007
2008-07-28,8.125,48.125,14.721723,1.922795,1.7598075e-05,0.32270366,63.915392728867346,294.95724
2008-07-29,8.125,48.125,11.695566,1.2622099,1.7884546e-05,0.31455958,63.5571543265272,295.28128
2008-07-30,8.125,48.125,12.490227,1.3742061,3.041122e-05,0.30967325,63.198915924187055,294.9693
2008-07-31,8.125,48.125,14.80501,0.01491781,1.4608706e-05,0.30763367,62.84067752184691,296.3043
2008-08-01,8.125,48.125,8.928055,1.47848,1.708183e-05,0.3001225,62.48243911950676,293.27478
2008-08-02,8.125,48.125,9.038329,0.8881444,1.4661256e-05,0.2957614,62.124200717166616,292.37186
2008-08-03,8.125,48.125,8.263617,0.7921276,1.46950815e-05,0.29731208,61.76596231482647,293.46692
2008-08-04,8.125,48.125,6.3931932,11.085361,2.2656535e-05,0.30865213,61.40772391248632,292.0913
2008-08-05,8.125,48.125,11.282546,0.9765741,1.4024812e-05,0.32003087,60.63714761424947,291.3855
2008-08-06,8.125,48.125,13.034482,0.0,1.35372065e-05,0.31112713,59.866571316012624,293.88397
2008-08-07,8.125,48.125,12.2347,5.601054,2.0255206e-05,0.31023735,59.09599501777578,294.172
2008-08-08,8.125,48.125,9.939689,15.859455,5.4921537e-05,0.32602862,58.32541871953893,289.26956
2008-08-09,8.125,48.125,9.349173,1.5110143,1.4443989e-05,0.3303618,57.554842421302084,289.78384
2008-08-10,8.125,48.125,12.705752,0.07941649,1.3042837e-05,0.3215623,56.78426612306524,291.21167
2008-08-11,8.125,48.125,8.076139,5.251163,3.143123e-05,0.31961173,56.01368982482839,291.81815
